address,balance
"0xee77aa3fd23bbebaf94386dd44b548e9a785ea4b",451771620.797292053699493408
"0x1309c007567a71b393094c21e70bd2647356a352",28728344.150522876530885696
"0x90a48d5cf7343b08da12e067680b4c6dbfe551be",7217279.376229502260684967
"0x0e1891281d77244f4c3f99e1b60ecad98765b884",3448269.289062179625034332
"0xa542d7a3b031eabb5133993ba9a31631669f19b0",2628877.590677832253277302
"0x450101efa9041d4d13f6d66631bfb0d4a5fc4aea",2572162.626210369169712067
"0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c",1691617.616409450303763151
"0x8bf81983a4b3c93f7dcb3a19298dc43328aec49e",1577731.000589403090998530
"0xd87621fb9057d7c5b3094e3f3e2817acddad48dd",1500000.000000000000000000
"0x6120f29ccb5b1ddaa5a747235f257ef6cb47970f",964330.791129809687845409
"0x3e39f1829056d8589699494bda61f9e7cecbcac8",756913.847543321084231138
"0x4b53a4c223cafdcf04a15b8d63062b85161ccd86",496356.032315687742084265
"0x515d66dba5f8aa8702950a164ca0eaa842b01435",309879.894420228316448629
"0x18c529e97297c7d7da79779714b288f5c034ebe1",287402.281339121109340340
"0xff75e131c711e4310c045317779d39b3b4f718c4",201080.360962893639225513
"0x3d99d05951ea06181864af64a53f78a5ee3f1796",184360.649745257134782150
"0xecca0c51690e2edab8b62ca31907665e5b83dfcf",182236.173847689089598134
"0xaf2466d9492d6372d57c6ec666495690133538f4",120000.000000000000000000
"0x97286d6dc800041ab1fea3345c76feff91d17264",118325.048605816133203916
"0xbbee8a8bb23e074bc501257793ca58414bdd1a8c",110990.654064157512038946
"0x66df5a7715c5d4afbbfa52435c66aa20733be0d1",98763.531231322020175867
"0xd51f432fba075b4ea08271b43826c355389dd168",92340.092245412524789572
"0x1605c6473e934a0d6b88de18991a4fbf5e2038b1",92332.467638661779346876
"0x15ca6ad5783ecc8c5baaf3339041104d9afba684",91339.627425452243187465
"0x3cbbc3361a54bb099743941cd00ec8b15ece3756",80000.000000000000000000
"0xbfbac9fdf2b937d88b7e97506b6c169dd0b03b24",73723.231581252213800326
"0x8c8acb85b10eb4b69af2f25e39a2a538db25f362",71203.557328535360284150
"0x059ecb56417d88feb2cece7b581dbd533683c71a",59991.060844869585707784
"0x1b80e501e397dbf8b7d86d06bd42679d61cac756",59450.566764601826434955
"0x957a591c2afd9732758652263f04e81e4b90f381",59114.200033874709333759
"0xca5e9b660665846c1aed199170461783e3a6826a",59010.915866302406357136
"0x903fd974073761143a028e2f8341a93dd063d2a4",52737.761413743661250919
"0xe8fa51ca0f738e3f902538a2b85fe1c97f8dbd45",47946.244953324378002435
"0x900897c856b643c9f2b9765ab6e7a2e288b82014",46301.393750903916952666
"0x804833c7dcbca217a04eccf0b36ab940555d129e",45000.000000000000000000
"0x5a42ba5e608d2f2c5d40c69cffb52bf0647a3212",43027.622388847536058165
"0x3924cf5c6845cfc70aa6a7fb12cd6a108ea96c28",42196.260606653224385809
"0xe56e1c6213de37a32e79407bce5c4569aaa6971d",41962.538669732850394212
"0xcb9ec343576e452d549bfa57d969d83886c5dabf",38804.989555240405024961
"0xca17ef1925d49931918e3fde7aa4516a3a4958c4",34185.345603522124292795
"0x96e2cd42dba2fe7102aca8887a663a0a1f18d293",30752.192887548408180010
"0xe16584424f34380dbf798f547af684597788fbc7",29335.904721816757955821
"0x4523b791292da89a9194b61ba4cd9d98f2af68e0",27012.742292385053588077
"0xf14c0929085073eb9522626680f320e0370c1f98",27003.092866789262188831
"0x7711f292bf88eedef80e373e90b65b7cb1a16234",26047.341621308798494283
"0xd61ebb6b7327100ac7eeec463f27185dad342e8c",25200.000000000000000000
"0x1bb3fda41f773808f6661b4f6c2513581fb4e61d",23537.104352986058074748
"0xc18ee6bf19aeccbc5985f68a4f10f4cb2d2bcb51",23377.763518459014449036
"0x119d0a8f1be60cd372887114681f7fdae017e3d3",22919.989275958650978282
"0x31cdb3f3c8ef63b30aaee433f5bd7f96144452e1",22335.239062334556365386
"0x3b4ed622c363c6f6a063748e5d06512c7f6cfc24",21327.422075447630049894
"0x0e941055617980f80a710aabe5400bb5f7f36050",20711.479931010890140897
"0x4320e0c461f8883c389acd3366bb5b0c197a7ede",16900.767921231439686380
"0xcc87ec9278babdf0161bb8484579c069873cbace",16765.084440703973086784
"0xcae532fdc508cbd300b493beacec1f3de9821953",15802.753087524646616657
"0xcaf97f2eb437df82eeb5280004d6b68a6cba8ece",15226.246731430517684203
"0xda03e5cbcd890f0c8c492097355695130f3a10d4",15000.000000000000000000
"0x31073af0496b3b5af7152a175257e016ae2c4b0f",14329.209446898859823705
"0x13cb009a280bd617ec1c9db97a2584a90f0b23f3",13569.960737685074491310
"0x3509b3b6fe4965b367021d5c4cb13c12c681095a",13553.466760206312756054
"0xa0b3459deb6b77164a6558cf4e70aacbe534efbc",12876.625636096374364570
"0x339505e5a478ef7f15cad4a7e5a6b0751ccaec62",11885.545334651384109748
"0x45af1dd64bba8367e23b811a03486990a3c08a85",11852.345708249320523464
"0xe1ecc9fe982499f424664631c65cc6813f198b21",11274.682063919977736077
